,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2018(DGNL),2019(DGNL)
7480101,19,20,19,16,16.5,15,15,18.375,19.875,22.75,21,25.75,22.4,24.55,760,980
7480102,19,20,20,17,17,16,15,18.75,20.25,22.5,21,24.5,21.2,23.2,690,840
7480103,19,20,21,18,18.5,17,15,20.625,21.375,24.25,24,27,23.2,25.3,850,960
7480104,19,20,19,16,16,15,15,18.375,19.875,22.5,21.75,24.5,21.1,23.5,690,860
7520106,19,20,18,16,16,15,15,18.375,19.875,22.75,21,24.75,21.7,23.8,690,870
7480201,,,,,,,,18.375,20.25,22.75,22,25.75,22.5,24.65,760,950
7480101_BT,,,,,,,,,,,,23.75,20.5,22.9,690,850
7480202,,,,,,,,18.375,20.8125,22.25,22.25,25.5,22.25,24.45,760,900
7340122,,,,,,,,,,21.75,,24,21.2,23.9,690,900
7480109,,,,,,,,,,,,,20.6,23.5,690,870
74801103_CLCA,,,,,,,,,19.5,22,20,23.25,21.5,23.2,690,890
74801104_CLCA,,,,,,,,,19.5,20.75,20,20,19,21.4,690,750
7480104_TT,,,,,,,,,19.5,20,19,18,17,17.8,690,750
7480106_CLCA,,,,,,,,,19.5,20.5,19,20.75,18.4,21,690,750
7480101_CLCA,,,,,,,,,,,,22,20.25,22.65,690,900
7480102_CLCA,,,,,,,,,,,,18,18.6,20,690,750
7480202_CLCA,,,,,,,,,,,,21,21.1,22,690,800
7480201_CLCN,,,,,,,,,,,,,19,21.3,690,750
7340122_CLCA,,,,,,,,,,,,,,21.05,690,790
